epoch,loss,validation_accuracy
1,13.73188835,0.38054061
2,11.35390002,0.447027927
3,10.00684071,0.544901358
4,9.1121867,0.620163976
5,8.662338316,0.607161158
6,8.205555201,0.649948757
7,6.927485138,0.676210607
8,5.927482218,0.68210351
9,5.088206202,0.695362542
10,4.758378297,0.688829106
11,3.947305754,0.708621573
12,2.938744307,0.721111965
13,2.559806526,0.726620548
14,1.982217811,0.730976172
15,1.655940622,0.724058417
16,1.443286344,0.740968486
17,1.050793558,0.734691263
18,0.816615652,0.72879836
19,0.683993209,0.74007174
20,0.549845885,0.744235204
21,0.392716845,0.74417115
22,0.370291079,0.740904432
23,0.314154511,0.743466564
24,0.270671571,0.745260056
25,0.27570272,0.737189342
26,0.302222454,0.742697925
27,0.269085018,0.745580323
28,0.235428669,0.746797335
29,0.235718746,0.751921599
30,0.198210381,0.746733282
31,0.117809937,0.743658724
32,0.096031007,0.748142455
33,0.104326577,0.748911094
34,0.105954579,0.748462721
35,0.147563632,0.746861389
36,0.171254564,0.751473226
37,0.172088935,0.748398668
38,0.164757354,0.746156802
39,0.149151837,0.746605176
40,0.122509506,0.747694081
41,0.13040433,0.749295414
42,0.158952083,0.745708429
43,0.145692582,0.746733282
44,0.115609342,0.746028696
45,0.097604205,0.746989495
46,0.09203186,0.748526774
47,0.097639877,0.745708429
48,0.096880111,0.745836536
49,0.071899856,0.74493979
50,0.067862779,0.747822188
51,0.072093616,0.747437868
52,0.07221627,0.746220856
53,0.093377513,0.747373815
54,0.130953764,0.748270561
55,0.163215699,0.745644376
56,0.164386339,0.748078401
57,0.193897076,0.74532411
58,0.197291538,0.749167307
59,0.179556886,0.749487574
60,0.154894012,0.752305919
61,0.113225829,0.749295414
62,0.07820647,0.745644376
63,0.057325779,0.746092749
64,0.044571985,0.746669229
65,0.042696035,0.748654881
66,0.038451103,0.748590828
67,0.032121536,0.748718934
68,0.046461788,0.750128107
69,0.030663469,0.745708429
70,0.033546,0.748526774
71,0.02442466,0.748078401
72,0.035349504,0.748718934
73,0.047783142,0.747886241
74,0.070935131,0.748270561
75,0.096992612,0.745900589
76,0.144422322,0.746477069
77,0.175571537,0.747886241
78,0.265710657,0.742761978
79,0.253771368,0.742569818
80,0.185762853,0.746733282
81,0.153986739,0.743146298
82,0.169985658,0.747950295
83,0.15278528,0.747694081
84,0.12212343,0.750256213
85,0.076141329,0.747822188
86,0.058374644,0.75
87,0.047783574,0.749679734
88,0.037201831,0.748975147
89,0.043176443,0.748398668
90,0.034399286,0.74980784
91,0.04366213,0.749871893
92,0.042761206,0.745900589
93,0.040093805,0.747181655
94,0.041894337,0.741609019
95,0.03903524,0.74551627
96,0.046255395,0.747630028
97,0.045386842,0.745644376
98,0.06569414,0.74942352
99,0.074232094,0.743146298
100,0.077979374,0.745644376
101,0.099081557,0.746092749
102,0.143089169,0.744299257
103,0.157079813,0.747501922
104,0.114233048,0.745003843
105,0.064475946,0.746156802
106,0.055610905,0.745260056
107,0.048044894,0.747181655
108,0.047304384,0.746284909
109,0.058289359,0.747822188
110,0.050967374,0.748975147
111,0.047136149,0.75038432
112,0.049123217,0.748782987
113,0.050177897,0.749935947
114,0.037731028,0.751601332
115,0.028632856,0.751152959
